[03-Oct-2016 14:02:52 Europe/Berlin] PHP Notice:  Undefined variable: _SESSION in C:\xampp\htdocs\Project\Admin\Home\home.php on line 8
[03-Oct-2016 14:03:20 Europe/Berlin] PHP Notice:  Undefined variable: _SESSION in C:\xampp\htdocs\Project\Admin\Home\home.php on line 8
[03-Oct-2016 15:56:36 Europe/Berlin] PHP Warning:  require(adminsession.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\logout.php on line 2
[03-Oct-2016 15:56:36 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'adminsession.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\logout.php on line 2
[03-Oct-2016 15:57:23 Europe/Berlin] PHP Warning:  require(adminsession.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\logout.php on line 2
[03-Oct-2016 15:57:23 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'adminsession.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\logout.php on line 2
[03-Oct-2016 15:57:24 Europe/Berlin] PHP Warning:  require(adminsession.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\logout.php on line 2
[03-Oct-2016 15:57:24 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'adminsession.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\logout.php on line 2
[04-Oct-2016 14:26:10 Europe/Berlin] PHP Warning:  require(session.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\header.php on line 2
[04-Oct-2016 14:26:11 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'session.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\header.php on line 2
[04-Oct-2016 14:27:22 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:27:22 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:27:22 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:27:22 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:27:29 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:27:29 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:27:56 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:27:56 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:57 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:57 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:57 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:57 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:58 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:58 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:58 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:58 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'a_header.php' (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
[04-Oct-2016 14:28:59 Europe/Berlin] PHP Warning:  require(a_header.php): failed to open stream: No such file or directory in C:\xampp\htdocs\Project\Admin\a_home.php on line 3
